Iloilo City,,
,,
Year,Week,Cases
2014,1,12
2014,2,13
2014,3,7
2014,4,12
2014,5,5
2014,6,9
2014,7,6
2014,8,16
2014,9,7
2014,10,4
2014,11,12
2014,12,4
2014,13,5
2014,14,3
2014,15,9
2014,16,4
2014,17,5
2014,18,12
2014,19,11
2014,20,12
2014,21,5
2014,22,13
2014,23,14
2014,24,26
2014,25,31
2014,26,75
2014,27,41
2014,28,63
2014,29,61
2014,30,63
2014,31,67
2014,32,86
2014,33,84
2014,34,83
2014,35,79
2014,36,50
2014,37,39
2014,38,34
2014,39,30
2014,40,19
2014,41,19
2014,42,9
2014,43,5
2014,44,3
2014,45,12
2014,46,8
2014,47,5
2014,48,7
2014,49,3
2014,50,8
2014,51,6
2014,52,5
2015,1,13
2015,2,6
2015,3,0
2015,4,6
2015,5,8
2015,6,6
2015,7,6
2015,8,2
2015,9,4
2015,10,9
2015,11,8
2015,12,6
2015,13,3
2015,14,8
2015,15,7
2015,16,1
2015,17,4
2015,18,6
2015,19,4
2015,20,11
2015,21,5
2015,22,5
2015,23,5
2015,24,7
2015,25,7
2015,26,13
2015,27,17
2015,28,14
2015,29,33
2015,30,16
2015,31,18
2015,32,19
2015,33,14
2015,34,12
2015,35,21
2015,36,25
2015,37,22
2015,38,27
2015,39,27
2015,40,32
2015,41,25
2015,42,18
2015,43,18
2015,44,21
2015,45,16
2015,46,22
2015,47,20
2015,48,23
2015,49,14
2015,50,12
2015,51,7
2015,52,5
2016,1,49
2016,2,23
2016,3,31
2016,4,25
2016,5,10
2016,6,10
2016,7,10
2016,8,18
2016,9,12
2016,10,14
2016,11,11
2016,12,8
2016,13,5
2016,14,11
2016,15,7
2016,16,8
2016,17,8
2016,18,8
2016,19,4
2016,20,13
2016,21,10
2016,22,9
2016,23,8
2016,24,7
2016,25,21
2016,26,12
2016,27,21
2016,28,31
2016,29,52
2016,30,97
2016,31,119
2016,32,119
2016,33,160
2016,34,145
2016,35,141
2016,36,89
2016,37,92
2016,38,104
2016,39,67
2016,40,61
2016,41,27
2016,42,41
2016,43,27
2016,44,26
2016,45,19
2016,46,13
2016,47,17
2016,48,14
2016,49,13
2016,50,4
2016,51,10
2016,52,1
2017,1,7
2017,2,13
2017,3,9
2017,4,7
2017,5,8
2017,6,6
2017,7,6
2017,8,6
2017,9,4
2017,10,3
2017,11,3
2017,12,2
2017,13,1
2017,14,1
2017,15,3
2017,16,0
2017,17,2
2017,18,4
2017,19,2
2017,20,0
2017,21,0
2017,22,3
2017,23,3
2017,24,2
2017,25,3
2017,26,4
2017,27,6
2017,28,10
2017,29,13
2017,30,17
2017,31,24
2017,32,24
2017,33,26
2017,34,27
2017,35,28
2017,36,18
2017,37,12
2017,38,14
2017,39,18
2017,40,14
2017,41,14
2017,42,13
2017,43,8
2017,44,10
2017,45,9
2017,46,13
2017,47,7
2017,48,9
2017,49,13
2017,50,3
2017,51,5
2017,52,2
2018,1,4
2018,2,11
2018,3,7
2018,4,10
2018,5,9
2018,6,5
2018,7,4
2018,8,4
2018,9,10
2018,10,8
2018,11,2
2018,12,2
2018,13,5
2018,14,2
2018,15,3
2018,16,3
2018,17,5
2018,18,4
2018,19,4
2018,20,0
2018,21,2
2018,22,3
2018,23,5
2018,24,7
2018,25,7
2018,26,14
2018,27,14
2018,28,14
2018,29,31
2018,30,40
2018,31,39
2018,32,40
2018,33,59
2018,34,49
2018,35,58
2018,36,42
2018,37,45
2018,38,40
2018,39,25
2018,40,30
2018,41,30
2018,42,34
2018,43,14
2018,44,14
2018,45,20
2018,46,18
2018,47,13
2018,48,10
2018,49,13
2018,50,10
2018,51,15
2018,52,22
2019,1,22
2019,2,48
2019,3,41
2019,4,45
2019,5,51
2019,6,47
2019,7,41
2019,8,36
2019,9,38
2019,10,26
2019,11,25
2019,12,23
2019,13,21
2019,14,10
2019,15,6
2019,16,8
2019,17,17
2019,18,16
2019,19,15
2019,20,11
2019,21,16
2019,22,7
2019,23,17
2019,24,24
2019,25,45
2019,26,77
2019,27,107
2019,28,161
2019,29,304
2019,30,279
2019,31,299
2019,32,274
2019,33,192
2019,34,183
2019,35,138
2019,36,116
2019,37,94
2019,38,67
2019,39,61
2019,40,48
2019,41,57
2019,42,40
2019,43,27
2019,44,39
2019,45,31
2019,46,9
2019,47,13
2019,48,11
2019,49,29
2019,50,31
2019,51,18
2019,52,3
2020,1,27
2020,2,12
2020,3,14
2020,4,13
2020,5,12
2020,6,19
2020,7,8
2020,8,14
2020,9,14
2020,10,11
2020,11,10
2020,12,11
2020,13,4
2020,14,2
2020,15,3
2020,16,2
2020,17,4
2020,18,0
2020,19,1
2020,20,0
2020,21,1
2020,22,3
2020,23,2
2020,24,1
2020,25,3
2020,26,1
2020,27,4
2020,28,3
2020,29,3
2020,30,8
2020,31,6
2020,32,5
2020,33,8
2020,34,3
2020,35,2
2020,36,3
2020,37,3
2020,38,1
2020,39,0
2020,40,0
2020,41,1
2020,42,2
2020,43,0
2020,44,1
2020,45,2
2020,46,3
2020,47,8
2020,48,1
2020,49,0
2020,50,3
2020,51,5
2020,52,2
2021,1,20
2021,2,5
2021,3,3
2021,4,6
2021,5,8
2021,6,8
2021,7,9
2021,8,5
2021,9,8
2021,10,4
2021,11,6
2021,12,2
2021,13,3
2021,14,3
2021,15,7
2021,16,0
2021,17,4
2021,18,4
2021,19,2
2021,20,3
2021,21,7
2021,22,1
2021,23,8
2021,24,2
2021,25,18
2021,26,22
2021,27,22
2021,28,17
2021,29,17
2021,30,20
2021,31,15
2021,32,14
2021,33,12
2021,34,3
2021,35,6
2021,36,3
2021,37,5
2021,38,3
2021,39,7
2021,40,4
2021,41,5
2021,42,3
2021,43,3
2021,44,2
2021,45,2
2021,46,5
2021,47,1
2021,48,3
2021,49,2
2021,50,1
2021,51,1
2021,52,0
2022,1,8
2022,2,1
2022,3,2
2022,4,3
2022,5,3
2022,6,3
2022,7,1
2022,8,1
2022,9,1
2022,10,1
2022,11,1
2022,12,2
2022,13,2
2022,14,4
2022,15,6
2022,16,0
2022,17,3
2022,18,9
2022,19,12
2022,20,17
2022,21,9
2022,22,19
2022,23,30
2022,24,15
2022,25,20
2022,26,36
2022,27,69
2022,28,87
2022,29,91
2022,30,95
2022,31,109
2022,32,139
2022,33,27
2022,34,29
2022,35,29
2022,36,28
2022,37,26
2022,38,20
2022,39,21
2022,40,18
2022,41,7
2022,42,9
2022,43,9
2022,44,10
2022,45,10
2022,46,7
2022,47,10
2022,48,18
2022,49,12
2022,50,6
2022,51,7
2022,52,4
2023,1,8
2023,2,1
2023,3,2
2023,4,3
2023,5,3
2023,6,3
2023,7,1
2023,8,1
2023,9,1
2023,10,1
2023,11,1
2023,12,2
2023,13,2
2023,14,4
2023,15,6
2023,16,0
2023,17,3
2023,18,9
2023,19,12
2023,20,17
2023,21,9
2023,22,19
2023,23,30
2023,24,15
2023,25,20
2023,26,36
2023,27,69
2023,28,87
2023,29,91
2023,30,95
2023,31,109
2023,32,139
2023,33,27
2023,34,29
2023,35,29
2023,36,28
2023,37,26
2023,38,20
2023,39,21
2023,40,18
2023,41,7
2023,42,9
2023,43,9
2023,44,10
2023,45,10
2023,46,7
2023,47,10
2023,48,18
2023,49,12
2023,50,6
2023,51,7
2023,52,4
2024,1,18
2024,2,18
2024,3,22
2024,4,18
2024,5,14
2024,6,12
2024,7,14
2024,8,20
2024,9,11
2024,10,14
2024,11,8
2024,12,11
2024,13,9
2024,14,8
2024,15,3
2024,16,9
2024,17,3
2024,18,6
2024,19,7
2024,20,4
2024,21,6
2024,22,1
2024,23,7
2024,24,4
2024,25,4
2024,26,13
2024,27,28
2024,28,40
2024,29,75
2024,30,81
2024,31,174
2024,32,224
2024,33,202
2024,34,205
2024,35,172
2024,36,148
2024,37,119
2024,38,91
2024,39,104
2024,40,103
2024,41,68
2024,42,56
2024,43,35
2024,44,43
2024,45,36
2024,46,37
2024,47,43
2024,48,31
2024,49,31
2024,50,20
2024,51,12
2024,52,26
