Date,Week,Cases
01/01/2022,1,7
08/01/2022,2,1
15/01/2022,3,2
22/01/2022,4,3
29/01/2022,5,3
05/02/2022,6,3
12/02/2022,7,1
19/02/2022,8,1
26/02/2022,9,1
05/03/2022,10,1
12/03/2022,11,1
19/03/2022,12,2
26/03/2022,13,2
02/04/2022,14,4
09/04/2022,15,6
16/04/2022,16,0
23/04/2022,17,3
30/04/2022,18,9
07/05/2022,19,12
14/05/2022,20,17
21/05/2022,21,9
28/05/2022,22,19
04/06/2022,23,30
11/06/2022,24,15
18/06/2022,25,20
25/06/2022,26,36
02/07/2022,27,69
09/07/2022,28,87
16/07/2022,29,91
23/07/2022,30,95
30/07/2022,31,109
06/08/2022,32,139
13/08/2022,33,27
20/08/2022,34,29
27/08/2022,35,29
03/09/2022,36,28
10/09/2022,37,26
17/09/2022,38,20
24/09/2022,39,21
01/10/2022,40,18
08/10/2022,41,7
15/10/2022,42,6
22/10/2022,43,6
29/10/2022,44,10
05/11/2022,45,10
12/11/2022,46,7
19/11/2022,47,10
26/11/2022,48,18
03/12/2022,49,12
10/12/2022,50,6
17/12/2022,51,7
24/12/2022,52,4
01/01/2023,1,18
08/01/2023,2,8
15/01/2023,3,19
22/01/2023,4,12
29/01/2023,5,17
05/02/2023,6,19
12/02/2023,7,21
19/02/2023,8,11
26/02/2023,9,11
05/03/2023,10,6
12/03/2023,11,8
19/03/2023,12,15
26/03/2023,13,11
02/04/2023,14,12
09/04/2023,15,11
16/04/2023,16,11
23/04/2023,17,15
30/04/2023,18,17
07/05/2023,19,15
14/05/2023,20,6
21/05/2023,21,17
28/05/2023,22,12
04/06/2023,23,27
11/06/2023,24,20
18/06/2023,25,12
25/06/2023,26,37
02/07/2023,27,30
09/07/2023,28,54
16/07/2023,29,45
23/07/2023,30,47
30/07/2023,31,28
06/08/2023,32,40
13/08/2023,33,41
20/08/2023,34,42
27/08/2023,35,22
03/09/2023,36,31
10/09/2023,37,35
17/09/2023,38,22
24/09/2023,39,27
01/10/2023,40,44
08/10/2023,41,42
15/10/2023,42,52
22/10/2023,43,33
29/10/2023,44,34
05/11/2023,45,36
12/11/2023,46,40
19/11/2023,47,38
26/11/2023,48,31
03/12/2023,49,31
10/12/2023,50,32
17/12/2023,51,21
24/12/2023,52,14
01/01/2024,1,17
08/01/2024,2,18
15/01/2024,3,22
22/01/2024,4,18
29/01/2024,5,14
05/02/2024,6,13
12/02/2024,7,14
19/02/2024,8,20
26/02/2024,9,11
04/03/2024,10,15
11/03/2024,11,8
18/03/2024,12,11
25/03/2024,13,9
01/04/2024,14,8
08/04/2024,15,3
15/04/2024,16,9
22/04/2024,17,3
29/04/2024,18,6
06/05/2024,19,7
13/05/2024,20,4
20/05/2024,21,6
27/05/2024,22,1
03/06/2024,23,7
10/06/2024,24,4
17/06/2024,25,4
24/06/2024,26,14
01/07/2024,27,28
08/07/2024,28,40
15/07/2024,29,73
22/07/2024,30,84
29/07/2024,31,181
05/08/2024,32,226
12/08/2024,33,205
19/08/2024,34,209
26/08/2024,35,162
02/09/2024,36,103
